name,useful_num,funny_num,games_owned,recommended,hours_played,review_date,text
Left 4 Dead 2,1,0,70,1,173.4,2015/12/23,"張貼於：2015 年 12 月 23 日
殺殭屍就是爽"
Left 4 Dead 2,1,0,11,1,25.9,2015/12/3,"張貼於：2015 年 12 月 3 日
good game"
Left 4 Dead 2,1,0,96,1,65.0,2015/12/2,"張貼於：2015 年 12 月 2 日
good"
Left 4 Dead 2,1,0,4,1,357.4,2015/7/26,"張貼於：2015 年 7 月 26 日
玩不膩的神作呢~大推"
Left 4 Dead 2,1,0,113,1,319.2,2015/7/14,"張貼於：2015 年 7 月 14 日
GOOD"
Left 4 Dead 2,1,0,115,1,17.5,2015/6/26,"張貼於：2015 年 6 月 26 日
好玩"
Left 4 Dead 2,1,0,17,1,977.2,2015/6/24,"張貼於：2015 年 6 月 24 日
從一代玩到二代，最經典的遊戲風格，能說不好玩 ?"
Left 4 Dead 2,1,0,135,1,71.9,2015/6/22,"張貼於：2015 年 6 月 22 日
Left 4 dead 2 已經成為了一款經典必玩的作品，四人協力打僵尸

這遊戲的創意工坊使得遊戲更加具有人氣了，各種人物MOD 武器mod，從動漫到遊戲角色 應有盡有

還沒接觸過這個遊戲么？ 作為經典之一 值得一玩

只聽說過的朋友可以在打折的時候入一個和朋友一起玩

我現在最希望 能出求生系列的新作"
Left 4 Dead 2,1,0,42,1,71.4,2015/6/21,"張貼於：2015 年 6 月 21 日
GOODDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD"
Left 4 Dead 2,1,0,92,1,115.5,2015/6/17,"張貼於：2015 年 6 月 17 日
wonderful"
Left 4 Dead 2,1,0,118,1,86.8,2015/6/16,"張貼於：2015 年 6 月 16 日
爽ＧＡＭＥ

不解釋！！"
Left 4 Dead 2,1,0,53,1,5.2,2015/6/12,"張貼於：2015 年 6 月 12 日
good"
Left 4 Dead 2,1,0,4,1,150.7,2015/5/20,"張貼於：2015 年 5 月 20 日
Teamwork 一 流 spitter carry@@"
Left 4 Dead 2,1,0,184,1,40.5,2015/5/19,"張貼於：2015 年 5 月 19 日
This is a very fun third-person game, grew up playing, it is worth it."
Left 4 Dead 2,1,0,113,1,96.1,2015/4/19,"張貼於：2015 年 4 月 19 日
非常好玩的一款遊戲~~~~~~~~~~"
Left 4 Dead 2,1,0,81,1,40.4,2015/4/2,"張貼於：2015 年 4 月 2 日
very good"
Left 4 Dead 2,1,1,595,1,177.0,2015/6/13,"張貼於：2015 年 6 月 13 日
免費獲得的產品

當年就是因為L4D2免費，讓我入了Steam這個大坑之中，每年的特賣，就是理智與錢包的戰爭，當然，我的理智從沒贏過。
這款遊戲很適合朋友之間，一起合作通關，想要純過關簡單可以幫助你，想要挑戰自我專家寫實是你該選擇的，雖然官方地圖已經夠玩好一陣子了，但工作坊上的地圖跟各式模組又能在這遊戲時數上面多加幾小，不比老滾多，但也足夠了。
時隔多年了，G胖還是不知道怎麼數3......，希望成家立業前能玩到正統續作。"
Left 4 Dead 2,1,0,81,1,"1,146.6",2015/3/17,"張貼於：2015 年 3 月 17 日
喜歡合作的可以買來玩樂 跟朋友玩特別不錯"
Left 4 Dead 2,1,0,98,1,972.5,2015/3/13,"張貼於：2015 年 3 月 13 日
very good~~~~~~~~~~~~~"
Left 4 Dead 2,1,0,321,1,40.6,2015/2/25,"張貼於：2015 年 2 月 25 日
耐玩度非常高，玩法單純但不失樂趣，很適合跟朋友一同遊玩! 殭屍遊戲的經典之作

個人評分:
93/100 (極佳)"
Left 4 Dead 2,1,0,27,1,204.4,2015/2/10,"張貼於：2015 年 2 月 10 日
awesome!!!!!!!"
Left 4 Dead 2,1,0,37,1,419.1,2015/2/7,"張貼於：2015 年 2 月 7 日
so good"
Left 4 Dead 2,1,0,17,1,77.8,2015/2/4,"張貼於：2015 年 2 月 4 日
GOOD"
Left 4 Dead 2,1,0,181,1,91.4,2015/1/30,"張貼於：2015 年 1 月 30 日
和基友搞基的必備游戲"
Left 4 Dead 2,1,0,488,1,134.7,2015/1/8,"張貼於：2015 年 1 月 8 日
this is good game!"
Left 4 Dead 2,1,0,217,1,289.4,2014/11/2,"張貼於：2014 年 11 月 2 日
太好玩啦，还有众多MOD支持，这么好玩的游戏还这么便宜。还时不时打折，怎么能不买ε(罒ω罒)з"
Left 4 Dead 2,1,0,"3,820",1,283.0,2014/11/10,"張貼於：2014 年 11 月 10 日
顛覆傳統的喪屍遊戲,從lotd開始玩,直到遇到初代的震撼,不再是固定點遊戲

每一次戰役都是新的開始,沒有完結...

遊戲最恐佈的是對抗模式,喪屍附上玩家,令人類快速滅團,從而感到偎俱

聽到奇怪的聲音,'它""可能就在你附近了





===========================================

記住:這是2009的遊戲,對比現在的遊戲,還是一點都不遜色..."
Left 4 Dead 2,1,1,60,1,145.2,2014/10/25,"張貼於：2014 年 10 月 25 日
GOOD"
Left 4 Dead 2,1,0,78,1,29.9,2014/10/21,"張貼於：2014 年 10 月 21 日
跟朋友一起殺殭屍 超好玩"
Left 4 Dead 2,1,0,94,1,289.9,2014/1/29,"張貼於：2014 年 1 月 29 日
雖然只是爽爽打殭屍，但就是玩不膩 ~!"
Left 4 Dead 2,1,0,54,1,11.7,2013/12/29,"張貼於：2013 年 12 月 29 日
爽度100%"
Left 4 Dead 2,1,0,12,1,22.8,2013/12/29,張貼於：2013 年 12 月 29 日
Left 4 Dead 2,1,0,60,1,73.2,2013/12/29,"張貼於：2013 年 12 月 29 日
好遊戲，讚"
Left 4 Dead 2,1,0,165,1,1.4,2013/12/29,"張貼於：2013 年 12 月 29 日
Great Game much fun"
Left 4 Dead 2,1,0,99,1,"1,928.6",2013/12/27,"張貼於：2013 年 12 月 27 日
免費獲得的產品

好玩耐玩好遊戲值得擁有再戰12年"
Left 4 Dead 2,1,0,264,1,"1,759.6",2013/12/26,"張貼於：2013 年 12 月 26 日
好玩"
Left 4 Dead 2,1,1,141,1,416.3,2014/5/4,"張貼於：2014 年 5 月 4 日
雖然惡靈勢力大多數玩家都是遊玩盜版的, 不過我個人極力推薦 既然要玩就玩正版的
再說這款遊戲的耐玩度其實很高 單人遊戲玩膩了 還有多人連線遊戲 享受8人對戰的快感
以及 增加自己的思考邏輯 猜測對方(感染者)會從哪個轉角進行攻擊 襲擊 或是 突擊
地圖的部分也有廣大玩家進行製作 搞不好有機會 自己也可以製作一張地圖來分享給大眾玩家遊玩也說不定

這時可能會想到說 盜版的我依舊可以這樣玩 再說了 我也不用花費任何一筆開銷就可以暢玩到底
沒錯 不過正版也有正版的優惠 什麼優惠呢? 買了正版就知道
再說STEAM比很多遊戲廠商的優惠來的好很多 像是購買折扣 遊戲試玩等等"
Left 4 Dead 2,1,0,76,1,281.9,2013/12/26,"張貼於：2013 年 12 月 26 日
經典殭屍遊戲~!"
Left 4 Dead 2,1,0,69,1,412.3,2013/12/26,"張貼於：2013 年 12 月 26 日
very good
i like it"
Left 4 Dead 2,1,0,75,1,309.5,2013/12/15,"張貼於：2013 年 12 月 15 日
like"
Left 4 Dead 2,1,0,56,1,26.4,2013/12/15,"張貼於：2013 年 12 月 15 日
good"
Left 4 Dead 2,1,0,499,1,71.1,2013/12/5,"張貼於：2013 年 12 月 5 日
GG"
Left 4 Dead 2,1,0,163,1,292.3,2013/11/29,"張貼於：2013 年 11 月 29 日
best co-cp games"
Left 4 Dead 2,1,0,60,1,131.3,2013/2/9,"張貼於：2013 年 2 月 9 日
讚讚"
Left 4 Dead 2,1,0,119,1,524.2,2012/7/30,"張貼於：2012 年 7 月 30 日
本作與一代相比，毫無疑問內容豐富許多。不過跟一代有個相同的問題就是，相同的地圖幾種玩法很容易膩。所幸在Steam Workshop推出之後，加深了遊戲的內容延展性，某種程度上透過非官方的型式彌補了這個缺點。"
Left 4 Dead 2,2,0,962,1,5.0,2016/7/26,"張貼於：2016 年 7 月 26 日
打殭屍好遊戲"
Left 4 Dead 2,2,0,252,1,16.8,2014/12/28,"張貼於：2014 年 12 月 28 日
人性之夜2，今晚上不了飞机"
Left 4 Dead 2,2,0,623,1,9.4,2013/12/26,"張貼於：2013 年 12 月 26 日
A classic game,free to play now.Have fun>_<"
Left 4 Dead 2,2,1,132,1,353.9,2016/5/9,"張貼於：2016 年 5 月 9 日
度的超好玩的但要跟朋友玩= ="
Left 4 Dead 2,2,0,545,1,"2,635.6",2016/5/7,"張貼於：2016 年 5 月 7 日
這遊戲特色就在於玩家可以自己做圖 做模組

玩著非官方地圖，就會屢屢讚嘆這些人的功力"
Left 4 Dead 2,1,0,42,1,82.4,2015/9/30,"張貼於：2015 年 9 月 30 日
nice game~~~"
Left 4 Dead 2,1,0,14,1,89.7,2015/8/28,"張貼於：2015 年 8 月 28 日
good!!!!!!!"
Left 4 Dead 2,2,0,10,1,36.6,2016/6/9,"張貼於：2016 年 6 月 9 日
GOOD GAME"
Left 4 Dead 2,0,0,3,1,56.8,2015/8/1,"張貼於：2015 年 8 月 1 日
good"
Left 4 Dead 2,0,0,49,1,257.6,2015/7/6,"張貼於：2015 年 7 月 6 日
good"
Left 4 Dead 2,0,1,52,1,368.7,2015/6/18,"張貼於：2015 年 6 月 18 日
TEST"
Left 4 Dead 2,0,0,10,1,296.9,2013/12/30,"張貼於：2013 年 12 月 30 日
團隊戰略遊戲，可以戶加一起遊玩哦!"
Left 4 Dead 2,0,1,59,1,62.1,2013/12/27,"張貼於：2013 年 12 月 27 日
is good !!!"
Left 4 Dead 2,0,0,2,1,102.0,2013/12/27,"張貼於：2013 年 12 月 27 日
like"
Left 4 Dead 2,0,1,193,1,131.3,2013/12/26,"張貼於：2013 年 12 月 26 日
Very interesting game : )"
Left 4 Dead 2,2,1,18,1,"1,115.7",2016/8/28,"張貼於：2016 年 8 月 28 日
免費獲得的產品

忠實粉絲<3"
Left 4 Dead 2,2,1,137,1,"1,370.9",2013/11/30,"張貼於：2013 年 11 月 30 日
寫實專家很刺激 希望V社快點出新地圖www"
Left 4 Dead 2,3,0,30,1,21.8,2016/6/24,"張貼於：2016 年 6 月 24 日
太好玩拉~~大推!團隊合作!"
Left 4 Dead 2,3,0,6,1,277.4,2016/6/17,"張貼於：2016 年 6 月 17 日
好"
Left 4 Dead 2,2,0,48,1,16.2,2016/7/20,"張貼於：2016 年 7 月 20 日
免費獲得的產品

nice game"
Left 4 Dead 2,1,0,,1,"4,738.8",2015/2/9,"張貼於：2015 年 2 月 9 日
GOod"
Left 4 Dead 2,2,0,151,1,"2,196.2",2015/6/19,"張貼於：2015 年 6 月 19 日
多人才好玩"
Left 4 Dead 2,2,0,122,1,93.1,2015/4/15,"張貼於：2015 年 4 月 15 日
跟其他朋友玩的時候根本歡樂^^
還有即使官方地圖玩完了還可以裝非官方地圖繼續玩
有了WORKSHOP可以發揮非常多的玩法
人物.槍隻外型都可以依自己喜好改變
遊戲難度有差建議慢慢破
要玩可以找朋友一起才不會遇到其他人整間房只有槍聲跟角色聲音"
Left 4 Dead 2,2,0,95,1,498.1,2013/1/15,"張貼於：2013 年 1 月 15 日
虐殺殭屍，力挽狂瀾。"
Left 4 Dead 2,3,0,62,1,31.1,2016/7/30,"張貼於：2016 年 7 月 30 日
免費獲得的產品

很有趣的舒壓遊戲，而且支援多種的MOD讓遊戲更有趣。"
Left 4 Dead 2,3,0,141,1,92.1,2014/12/31,"張貼於：2014 年 12 月 31 日
gd"
Left 4 Dead 2,3,0,222,1,73.6,2015/3/2,"張貼於：2015 年 3 月 2 日
GOOD"
Left 4 Dead 2,1,1,150,1,18.6,2016/4/15,"張貼於：2016 年 4 月 15 日
喜歡打殭屍的朋友一定要買喔，可以與其他玩家一起的破劇情喔"
Left 4 Dead 2,1,0,30,1,118.2,2016/1/18,"張貼於：2016 年 1 月 18 日
good"
Left 4 Dead 2,1,0,43,1,"1,568.5",2014/8/3,"張貼於：2014 年 8 月 3 日
好玩"
Left 4 Dead 2,3,0,2,1,"2,600.1",2015/3/26,"張貼於：2015 年 3 月 26 日
非常好玩 不過長的醜的都很愛TK"
Left 4 Dead 2,10,1,49,1,852.4,2015/1/29,"張貼於：2015 年 1 月 29 日
這是款可以挑戰自己、自己遊玩，
也可以跟線上玩家或是朋友同心協力的遊戲 :D

是個玩不膩的遊戲喔 ♥"
Left 4 Dead 2,245,6,50,1,982.9,2017/6/7,"張貼於：2017 年 6 月 7 日
老遊戲了,但耐玩的程度好比一些經典中的經典遊戲一樣
市面上的遊戲推陳出新,可這款卻能佔著最佳團隊合作遊戲的名號
不是沒有原因的,如果你還在猶豫要不要買?
我只能說特價時不到台幣100元
可以讓你永遠有這款最佳遊戲在後面陪你,
當你玩完那些嶄新的遊戲後
相信我,你還會回望這款的！"
Left 4 Dead 2,132,74,"1,225",1,72.4,2015/6/14,"張貼於：2015 年 6 月 14 日
這遊戲最危險的不是殭屍或特感...............
而是隊友"
Left 4 Dead 2,56,66,626,1,18.7,2017/11/25,"張貼於：2017 年 11 月 25 日
1.一款沒朋友可以交朋友的遊戲
2.一款有朋友玩到沒朋友的遊戲"
Left 4 Dead 2,63,3,68,1,405.7,2017/6/26,"張貼於：2017 年 6 月 26 日
好玩 應該說每個STEAM帳號裡面都應該要有一個"
Left 4 Dead 2,48,14,80,1,32.4,2018/11/22,"張貼於：2018 年 11 月 22 日
其實我在等Left 4 Dead 3!!!"
Left 4 Dead 2,86,47,"1,300",1,"1,267.1",2015/1/4,"張貼於：2015 年 1 月 4 日
花了1200小時玩這個遊戲
獲得僵屍
失去人生

10/10"
Left 4 Dead 2,40,1,235,1,18.4,2018/6/30,"張貼於：2018 年 6 月 30 日
這遊戲...該怎麼說呢？
真的是經典，很難想像是2009年的作品，當年的極致啊，就算過了9年，依舊是許多人忘不了的回憶，都留在人們心中"
Left 4 Dead 2,31,6,932,1,322.2,2015/5/16,"張貼於：2015 年 5 月 16 日
雖然是2009年的遊戲 但是到現在還是玩不膩
如果能在找到另外3個基友一起連線玩的話更好喔~~"
Left 4 Dead 2,76,0,"1,980",1,148.8,2014/6/17,"張貼於：2014 年 6 月 17 日
Graphic── 畫面：☆☆☆
Character──角色：☆☆
Scenario──劇情：☆☆☆☆
Single player──單機：☆☆☆☆
Multiplayer──多人：☆☆☆☆☆
Durable──耐玩度：☆☆☆☆☆
Feature──特殊賣點：FPS射擊遊戲＋殭屍+海量地圖與玩法。
Rating──整體給分：8/10


L4D2響亮的大名應該無庸小女子多作介紹。
支援繁體中文，對英文苦手相當貼心。
除此之外，戰役與對抗模式的各式玩法也相當耐玩，搭配MOD更能享受樂趣。

數量龐大的非官方地圖也是亮點，幾乎擁有永遠打不完的地圖。
只要有一群好朋友，應該是款可以玩到天荒地老的作品。
有點血腥，但是還是推薦給女生，是個可以鍛練膽量與反應力的射擊遊戲。

以台灣地區而言，也許房間不是很多，但打外國伺服器也能多結識異文化朋友，也算不錯。
經過免費販售之後，玩家品質顯著下降，且伺服數量也逐漸減少。
想等待L4D3的玩家可以再觀望一會兒，也許一代二代的地圖都會包成三代的DLC呢！

推薦給沒有玩過，或是尚未擁有STEAM版本的玩家。
好遊戲的公司需要支持，愛它請買下它>////<"
Left 4 Dead 2,53,0,392,1,941.3,2016/11/24,"張貼於：2016 年 11 月 24 日
免費獲得的產品

2017年的感想
雖然玩遊戲的時間少了
但這款的樂趣依舊未被時間給擊敗
偶爾回來跟朋友打個一場
那樂趣與所帶來的喜悅
真的是最理想的遊戲體驗

或許這遊戲很老了
但即便是即將迎來2018年的這一刻
他仍就是我最喜歡的經典遊戲之一
因為這遊戲，讓我認識了許多摯友
有了下班後的幸福時光
更讓我跌入了steam這個大坑
而這些回憶也將在之後繼續編寫下去
真的很感謝這遊戲
真的是大家都應該擁有的一款遊戲
再次推薦給還未嘗試過的朋友~


-------------------------


送給未入手的朋友們

入手這款遊戲的話你能體會到許許多多的樂趣
你能享受跟朋友們一起在殭屍海中絕境生存的刺激感
你能在每一場的遊戲中深刻的體會與朋友間的合作與默契
變化多端的AI能讓你在同場地途中遭遇到不同的驚喜(或是驚嚇)

而除此之外
極為豐富的自製模組和地圖更是給這款遊戲帶來了無窮的樂趣
豐富的模組能讓你大至背景載具，小至藥罐
都能依造你的喜愛來改變外觀或是音效
想讓你的炸彈變成隻雞嗎?
想讓M16變成HK416嗎?
無論是要搞笑還是帥氣
相信你都能在豐富的模組海中滿足自己的需求

數量驚人的自製地圖更是這遊戲的迷人之處
每張地圖都能看見各個地圖製作者對於這款遊戲的熱情
更是有許多張品質高的驚人的作品
其品質完全不遜於官方圖
我與友人玩過基本上所有能進行多人團(4人以上)的自製地圖
一年多才玩完(一天可能一兩張)
還沒算入某些只能支持4人的地圖
可見地圖豐富的程度

另外就是有多人伺服器的存在
跟4人比起來又是完全不一樣的體驗
玩起來更為歡樂與刺激
如果能找到這類伺服器的話更是會讓遊玩性大幅上升

但這遊戲還是有缺點的

首先因為距離現在也是近7年多的遊戲了
所以追求畫面大於遊戲性的朋友們可能就沒那麼推薦了

另外就是基本上劇情是著墨很少的
雖然角色間對話逗趣可愛
但劇情這方面基本上偏薄弱

另外最重要的就是
這款遊戲很需要朋友一起玩
最少也要有3人
專家難度如果沒4人也是很有可能翻車
更重要的是這款遊戲如果只有一個人玩真的很孤單...
所以我覺得這是這款遊戲的最先考量因素

「一定要有朋友一起玩!!!」


-------------------------


一點個人感想

這款遊戲是我在某次聖誕節特賣的活動中免費獲得的
原先只和朋友2人打打官方圖
雖然歡樂有趣
但卻又覺得少了些什麼
而剛好在此時我碰到了一些因為這款遊戲而聚集在一起的玩家
也因為這樣我認識了許多很棒的知心好友
每晚與他們(用多人團的方式)享受與挑戰各款自製地圖真的是很棒的遊戲體驗
即使打完了
那就再重新一次
每次玩樂都有不一樣的驚喜與歡樂
新朋友的加入更是讓地圖有不一樣的樂趣
在不知不覺間
玩這款遊戲的重點早已不再是地圖有沒有救援成功
而是在於享受與朋友間玩樂的氛圍
每晚來個一場
工作上的疲勞和不如意也早就忘去了
睡前想到的只會是剛才遊戲中的各種趣事

以現在的角度來看
或許這款遊戲已經不能算是款3A大作了
但不可否認的
這款遊戲讓我深刻地體會到合作遊戲的精隨
這也是我以前玩其他遊戲很難去感受到的一環

「以遊戲會友」

可能就是這樣的感覺吧
現在我也會跟這些朋友們一起遊玩不同的遊戲
也因為這樣錢包總是空空(哭
但真的很感謝這款遊戲讓我遇到了這麼多很棒的朋友
也讓我更加跌入Steam這個大坑XD

如果周遭有一起打電動的朋友的話
不如一起來嘗試看看這款經典之作吧
一起來挑戰在殭屍海中生存
並發現團隊中那只屬於你們的默契和友情"
Left 4 Dead 2,28,2,134,1,247.1,2014/12/27,"張貼於：2014 年 12 月 27 日
09年的游戏，5年后仍不过时，这就是魅力
无可置疑的开黑神器！！"
Left 4 Dead 2,28,6,111,1,"1,013.6",2015/8/30,"張貼於：2015 年 8 月 30 日
歷久不衰的FPS殭屍射擊遊戲大作!!!"
Left 4 Dead 2,20,4,47,1,"3,709.7",2017/11/28,"張貼於：2017 年 11 月 28 日
雖然遊戲已經出了8多了，仍然還是很好玩，還是有很多人在製作更多模組地圖，還是有很多人努力在打破生存模式的成績，還是有很多人創新的伺服器來製作新的規定跟玩法，在未來2018，2019仍然會繼續玩這款遊戲，但是當然更希望能夠出 L 4 D 3 !"
Left 4 Dead 2,24,1,"2,683",1,108.0,2013/11/30,"張貼於：2013 年 11 月 30 日
打殭屍.不管是自幹.合作破關.甚至和朋友心機對抗
這款遊戲都可以找到她的好玩地方.STEAM特價的時候絕對不要錯過了"
Left 4 Dead 2,16,2,95,1,143.0,2018/8/25,"張貼於：2018 年 8 月 25 日
經典中的經典，EARTHFALL這種垃圾不能取代。"
Left 4 Dead 2,30,1,147,1,"1,950.4",2014/6/22,"張貼於：2014 年 6 月 22 日
這款遊戲非常好玩，自從接觸了這款遊戲，就讓我沉迷上了，以前玩著盜版的，然後因為非常喜歡，所以入了正版。現在的射擊遊戲裏幾乎沒有像L4D系列的玩法，所以很期待V社出L4D3！"
Left 4 Dead 2,16,1,48,1,283.4,2018/5/21,"張貼於：2018 年 5 月 21 日
三五好友同樂性極高的好遊戲，就算到了2018年依然如此！"
